TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,BRIDGE ST,40,S, ,CAIRNS ST,2012746,3/11/00,Fri,1235,NA,CN1E,713B 727B ,,R,D,O ,F , ,N,C,50,0,1,0,9,,1751114,5424158,-41.31989699,174.8055234
Wellington City,BRITOMART ST,180,W, ,ADELAIDE ROAD,2011973,22/06/00,Thu,1500,NB,VE1E,713B 714B ,,R,D,B ,F , ,N,C,50,0,0,1,12,,1748399,5424133,-41.32062627,174.7731055
Wellington City,BRITOMART ST,15,W, ,STANLEY ST,2050463,14/02/00,Mon,355,EA,CE1C,410A ,M,R,D,DO,F , ,N,C,50,0,0,0,,,1748348,5424136,-41.32060864,174.7724957
Wellington City,BROADWAY,30,W, ,CAVENDISH SQUARE,2050753,27/02/00,Sun,1335,CB,CE1,197A 331A ,P,R,D,O ,F , ,N,C,50,0,0,0,,,1752762,5423629,-41.32434916,174.8253373
Wellington City,BROADWAY,, ,I,CAVENDISH SQUARE,2052192,24/03/00,Fri,1650,MC,VE1T,372B ,,R,D,O ,F ,T,N,P,50,0,0,0,,,1752792,5423625,-41.32437949,174.8256966
Wellington City,BROADWAY,, ,I,MONORGAN ROAD,2055312,3/11/00,Fri,1530,GF,BW1CCC,158B 387B ,,R,D,O ,F ,X,S,N,50,0,0,0,,,1752142,5423554,-41.32514163,174.8179513
Wellington City,BROADWAY,, ,I,TIO TIO ROAD,2011064,11/02/00,Fri,1820,LB,SE1C,303B 375B ,,R,D,B ,F ,T,N,C,50,0,0,2,,38,1752570,5423673,-41.32398937,174.8230332
Wellington City,BRODERICK ROAD,, ,I,GOTHIC ST,2050497,13/01/00,Thu,1100,KA,CE1C,303B 375B ,,R,D,B ,F ,T,N,P,50,0,0,0,,,1751331,5434743,-41.22455611,174.8054865
Wellington City,BRODERICK ROAD,, ,I,HEATH ST,2012924,10/10/00,Tue,815,JA,CW1C,113A ,,E,D,B ,F ,X,G,R,50,0,0,1,,,1751013,5434794,-41.22415635,174.8016817
Wellington City,BROOKER GROVE,10,E, ,ALDER PLACE,2056092,31/10/00,Tue,1535,MO,CS1C,386A ,M,R,D,O ,F ,T,N,N,50,0,0,0,,,1753358,5434683,-41.22471466,174.8296733
Wellington City,BROOKLYN ROAD,50,W, ,BIDWILL ST,2012362,8/07/00,Sat,1020,DA,CW1,504A ,C,M,D,B ,F , ,N,L,50,0,0,1,,,1748075,5426052,-41.30340821,174.7687688
Wellington City,BROOKLYN ROAD,100,W, ,BIDWILL ST,2052986,3/07/00,Mon,1415,DA,CW1,197A ,P,M,W,O ,H , ,N,C,50,0,0,0,,,1748033,5426073,-41.30322685,174.7682623
Wellington City,BROOKLYN ROAD,100,N, ,NAIRN ST S,2011866,5/04/00,Wed,928,GB,SN1C,110A 158A 372B 930 ,,E,D,O ,F ,D,N,C,50,0,0,1,,19,1748096,5426374,-41.30050524,174.7689412
Wellington City,BROOKLYN ROAD,30,E, ,WASHINGTON AVENUE,2012044,18/07/00,Tue,805,FA,CE1C,331A 363A ,,M,W,B ,F , ,N,L,50,0,0,2,,,1747901,5426151,-41.30254878,174.7666673
Wellington City,BROOKLYN ROAD,150,E, ,WASHINGTON AVENUE,2012360,7/08/00,Mon,1950,DA,CE1,111A 132A 403A ,FKP,M,D,DO,F , ,N,L,50,0,0,3,,,1748008,5426132,-41.30270023,174.7679494
Wellington City,BROOKLYN ROAD,200,E, ,WASHINGTON AVENUE,2052263,14/04/00,Fri,2216,DA,CS1,103A 123A ,CI,M,D,DO,F , ,N,R,50,0,0,0,,,1748020,5426084,-41.30313019,174.7681044
Wellington City,BROOKLYN ROAD,50,S, ,WILLIS ST,2011702,19/04/00,Wed,1630,JA,CS1C,308B 377B 926 ,,M,D,O ,F ,D,N,P,50,0,0,1,,,1748156,5426725,-41.29733401,174.7695721
Wellington City,BROUGHAM ST,, ,I,ELLICE ST,2053084,29/06/00,Thu,815,HA,TS1C,321A ,,R,D,O ,F ,X,S,C,50,0,0,0,,,1749299,5426365,-41.3003646,174.7833061
Wellington City,BROUGHAM ST,, ,I,ELLICE ST,2054076,19/08/00,Sat,1530,HA,CS1C,301A ,,R,W,O ,L ,X,S,C,50,0,0,0,,,1749299,5426365,-41.3003646,174.7833061
